표준어	품사	세종태그	어깨번호	강원	경기	경남	경북	전남	전북	충남	충북	제주	평남	평북	함남	함북	황해	중국 길림성	중국 요령성	중국 흑룡강성	중앙아시아	뜻풀이
호르몬	[명사][방언]	NNG	00_00_00	 	 	 	호로몽	 	 	 	 	 	 	 	 	 	 	 	 	 	 	동물의 내분비샘에서 분비되는 체액과 함께 체내를 순환하여, 다른 기관이나 조직의 작용을 촉진, 억제하는 물질을 통틀어 이르는 말
호리다	[동사][방언]	VV	00_00_00	 	 	홀꾸다	 	뽈다, 홀구다	 	 	도시파다	 	 	 	 	 	 	 	 	 	 	미존재 뜻풀이
호리다	[동사][방언]	VV	01_00_00	 	 	홀기다	 	 	 	 	 	 	홀기다	 	홀기다	 	 	 	 	 	 	매력으로 남을 유혹하여 정신을 흐리게 하다.
호리병	[명사][방언]	NNG	00_00_00	 	 	호리벵	 	 	 	 	 	등덜펭	 	 	 	 	 	 	 	 	 	호리병박 모양으로 생긴 병
호리병박	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	 	 	 	 	목주랭이	 	 	 	 	 	 	 	박과의 한해살이 덩굴풀
호리호리하다	[형용사][방언]	VA	00_00_00	 	 	 	 	갤상갤상허다	갤상갤상허다	 	 	 	 	 	 	 	 	 	 	 	 	몸이 가늘고 날씬한 모양.
호림	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	 	 	 	 	홀림	 	 	 	 	 	 	 	남을 꾀어 호리는 일. 또는 그런 솜씨나 수단.
호마	[명사][방언]	NNG	02_00_00	 	 	호매	 	 	 	 	 	호달매	 	호매	 	 	호매	 	 	 	 	예전에, 중국 북방이나 동북방 등지에서 나던 말.
호미	[명사][방언]	NNG	00_00_00	허미, 호매이, 호메이, 회미	허맹이, 허미	오매이, 홀매이, 홀맹이	호망개이	호맷가리, 홈맹이	 	회미	 	갈각지, 갈강쉐, 갈개이, 갈갱, 갈게기, 갈겡, 갈겡이, 갈궹이, 골각지, 골겡이, 곱은쉐, 훼미	 	취통	회미	홈미, 흐미	허미, 회미	 	 	 	 	미존재 뜻풀이
호미	[명사][방언]	NNG	01_00_00	호멩이, 호무	혀미, 호멩이, 홀쾡이	호망구, 호멩이	꼴깨미, 호망	호멩이, 호무	호멩이	호멩이	호멩이	갈개, 갈개기, 갈갱이	허매, 호무깡다리	호무, 호무깡다리, 후무	 	 	 	 	 	 	 	김을 매거나 감자나 고구마 따위를 캘 때 쓰는 쇠로 만든 농기구
호미걸이	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	 	 	호미열공젱이, 낚시공젱이, 호미공젱이	 	 	 	 	 	 	 	 	 	씨름에서, 상대편을 들어서 놓는 순간에 자기 발뒤꿈치로 상대편의 발목을 안으로 걸어 당겨 제치면서 상대편의 상체를 왼쪽으로 밀어 넘어뜨리는 기술
호미씻이	[명사][방언]	NNG	00_00_00	나다리, 지일, 유두놀이, 질먹기, 핌목, 호무씨심, 호무씻애, 호무씻이, 호무씻이미, 호미씨시미, 호미씨심	파접놀이, 허미거리, 허미싯이, 허미씻애, 허미씻음, 허미씻이, 호미부심, 호미씻애	꼼배기, 꽁배기, 농신지, 시무꼬지, 써리씻이, 써리짓이	강석미기, 나다리무끼, 망울지섬, 시무거리, 푸꾸, 푸꾸미기, 푸꾸래, 함추, 호무거리	두레지심, 모심다래기, 시름짱, 써레시침, 풍년다래기	술내기, 술미기	술멕이, 머심놀이, 호미거리	호무씨, 호무씻이, 호미씨, 호미씻애	 	 	 	 	 	 	 	 	 	 	농가에서 농사일, 특히 논매기의 만물을 끝낸 음력 7월쯤에 날을 받아 하루를 즐겨 노는 일
호미씻이하다	[동사][방언]	VV	00_00_00	질먹다	 	풋구묵다, 꿰이말타다	꼼비기묵다, 새말술묵다, 서리치묵다, 솜모둠묵다, 푸꾸먹다, 푸꾸묵다, 풀꾼먹다, 휘추먹다	 	 	 	호무씻이하다	 	 	 	 	 	 	 	 	 	 	농가에서 농사일, 특히 논매기의 만물을 끝낸 음력 7월쯤에 날을 받아 하루를 즐겨 노는 일
호밀	[명사][방언]	NNG	00_00_00	청밀	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	볏과의 한해살이풀 또는 두해살이풀
호박	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	 	 	 	만박호	 	곤매시	도왜	꼰매지	 	 	 	 	미존재 뜻풀이
호박	[명사][방언]	NNG	01_00_00	 	 	 	낭개	 	 	 	 	 	만호박	 	고매기, 곳매지	도애	 	 	 	 	 	박과의 한해살이 덩굴성 채소를 통틀어 이르는 말
호박고지	[명사][방언]	NNG	00_00_00	호박고자리, 호박속사리, 호박송씨래기	 	호박깍데이, 호박우거리, 호박우구리, 호박우리, 호박체	 	호박써레기, 호박우거리	호박무거리, 호박쪼가리	호박고재기, 호박꼬시레기	호박고쟁이	호박말랭이	 	 	 	도매고지	 	 	 	 	 	애호박을 얇게 썰어 말린 찬거리
호박꽃	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	 	 	 	 	 	 	동꼬지, 동아꼬지	 	 	 	 	 	호박 덩굴에 피는 꽃
호박돔	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	 	 	물코생이, 바당어렝이	 	 	 	 	 	 	 	 	 	놀래깃과의 바닷물고기
호박벌	[명사][방언]	NNG	00_00_00	먹벌	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	꿀벌과의 곤충
호박잎	[명사][방언]	NNG	00_00_00	호박이파구, 호박잎사구	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	호박의 잎사귀. 연한 것은 찬거리로 쓴다.
호반새	[명사][방언]	NNG	00_00_00	비쪼리, 조록새	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	호반샛과의 새
호비다	[동사][방언]	VV	00_00_00	회비다, 훼비다	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	좁은 틈이나 구멍 속을 갉거나 돌려 파내다.
호비작호비작	[부사][방언]	MAG	00_00_00	호부작호부작	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	좁은 틈이나 구멍 속을 자꾸 함부로 갉거나 돌려 파내는 모양
호비작호비작하다	[동사][방언]	VV	00_00_00	 	 	 	 	 	 	홉작홉작하다	홉작홉작하다	 	 	 	 	 	 	 	 	 	 	좁은 틈이나 구멍 속을 자꾸 함부로 갉거나 돌려 파내는 모양
호비칼	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	 	 	극쉐	 	 	 	 	오기칼	 	 	 	 	나무 같은 것의 속을 호벼 파내는 데 쓰는 칼
호사	[명사][방언]	NNG	00_00_00	호새	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	미존재 뜻풀이
호사바치	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	 	 	호사와치	 	 	 	 	 	 	 	 	 	몸치장을 호화롭고 사치스럽게 하는 사람.
호사스럽다	[형용사][방언]	VA	00_00_00	호새시럽다	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	호화롭게 사치하는 태도가 있다.
호사하다	[동사][방언]	VV	00_00_00	호새하다	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	미존재 뜻풀이
호소하다	[동사][방언]	VV	00_00_00	 	 	 	 	호얼허다	 	 	 	 	 	 	 	 	 	 	 	 	 	미존재 뜻풀이
호수	[명사][방언]	NNG	00_00_00	 	 	 	 	양지똘	 	 	 	 	 	 	 	 	 	 	 	 	 	미존재 뜻풀이
호식하다	[형용사][방언]	VA	00_00_00	 	 	 	 	 	 	 	 	입메좋다	 	 	 	 	 	 	 	 	 	미존재 뜻풀이
호주머니	[명사][방언]	NNG	00_00_00	개아주머니, 옆착, 개왓주머이, 개왓주메이, 양복주머니, 옆주머니, 옆창, 호주머이	양복주머니, 양복주머이, 양복호주머니, 허주머이, 호주먼지	개줌치, 갬치, 귀조마니, 깨주무이, 개주머이, 개앗주머이, 개와줌치, 개와통, 개왓주무이, 갯주무이, 갯주미이, 갯줌치, 겉주마이, 깨주머니, 깻주미이, 마구장, 보게또, 보게토, 보께또, 양복개주머니, 양복개주무니	개아주머니, 겟주이, 호주멍이, 호주무이, 개앗주메이, 개와주밍이, 개하주뭉이, 개핫주머이, 개홋주멍이, 개화주밍이, 개화줌치, 갯주맹이, 갯주뭉이, 겉주마이, 보게또, 호주메이, 호주미, 호줌무이, 호지미이	개아주머니, 게베, 게아찜, 호랑, 개추머니, 개아주머이, 개아쪽, 개아춤, 개아침, 개앗조마니, 개앗주마니, 개앗주머니, 개앗주미, 개앗지매, 개앗짐, 개와주머이, 개와주먼치, 개와춤, 개와침, 개왓낭, 개왓조마니, 개왓주마니, 개왓주미, 개왓지매, 개왓지메, 개왓짐, 개핫주머니, 갯주머니, 갯줌, 갯짐, 게야쪼마이, 게야쭈마이, 고비주마니, 고비주머니, 괴주머니, 괴비, 괴아침, 괴앗주머니, 괴앗줌, 괴앗짐, 괴야찜, 기아침, 보께또, 양복개와, 오메이, 오멩이, 죄깨호주머니, 호개비, 호괴비, 호주마니, 호주머나	개추머니, 개아침, 개압쥐메이, 개앗주미, 개앗쥐메이, 개앗짐, 개와주머니, 개와주머이, 개와춤, 개와침, 개왓주미, 개왓지매, 개왓짐, 갯쥐머니, 갯쥐머이, 갯짐, 괴주머니, 괴비, 괴아침, 괴앗줌, 기아침, 양복주머니	호랑, 개주머니, 거르망이, 글랑, 보게또, 호랭이, 후주머니	개왓주머니, 갯주머니, 거르망이, 양복주머니, 호주머리, 호주모니, 호랭이	게와쌈, 게아쑥, 게와쏙, 게와쑥, 게화, 겟주멩기, 겟주멩이, 양복개와, 양복주멩기	넢차개, 헙낭, 헙차개	겟집, 겻집, 넢차개, 헙낭, 헝보, 홍복, 흥보, 흥복, 헙차개	거르망이, 게르망, 게리마, 곁주머이	거루마니	거지, 걸랑, 더부치	거르망이, 호랭이	헙차개	겉주마이, 게르망, 게리마	 	옷의 일정한 곳에 헝겊을 달거나 옷의 한 부분에 헝겊을 덧대어 돈, 소지품 따위를 넣도록 만든 부분
호탄자	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	 	 	 	 	호랑보련	 	 	 	 	 	 	 	호피 무늬로 짠 담요.
호호	[부사][방언]	MAG	00_00_00	 	 	 	 	 	 	 	 	쿠쿠	 	 	 	 	 	 	 	 	 	미존재 뜻풀이
혹	[명사][방언]	NNG	00_00_00	 	 	 	 	남붕, 혹뿔	혹뿔	 	 	 	 	 	 	 	 	혹뿔	 	 	 	미존재 뜻풀이
혹	[명사][방언]	NNG	01_00_00	 	 	호욕	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	병적으로 불거져 나온 살덩이.
혹도미	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	 	 	웽이, 마께웽이, 자살웽이	 	 	 	 	 	 	 	 	 	놀래깃과의 바닷물고기
혹부리	[명사][방언]	NNG	00_00_00	혹불	 	혹쟁이	혹쟁이, 혹불재이	 	 	 	 	 	 	 	 	 	 	 	 	 	 	얼굴이나 목에 혹이 달린 사람을 놀림조로 이르는 말.
혹시	[부사][방언]	MAG	01_00_00	 	 	 	 	 	 	 	 	 	 	 	 	호안	 	 	 	 	 	그러할 리는 없지만 만일에.
혹여	[부사][방언]	MAG	00_00_00	혹예	 	 	혹이	 	 	 	 	 	 	 	 	 	 	 	 	 	 	그러할 리는 없지만 만일에.
혹여나	[부사][방언]	MAG	00_00_00	혹예나	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	'혹여'를 강조하여 이르는 말.
혹하다	[동사][방언]	VV	00_00_00	 	 	호걸하다	호걸하다	 	 	 	 	 	 	 	 	 	 	 	 	 	 	홀딱 반하거나 빠져서 정신을 못 차리다.
혹하다	[동사][방언]	VV	01_00_00	 	 	호굴하다	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	미존재 뜻풀이
혼	[명사][방언]	NNG	00_00_00	 	 	 	 	헵	 	 	 	 	 	 	 	 	 	 	 	 	 	미존재 뜻풀이
혼겁	[명사][방언]	NNG	00_00_00	 	 	 	혼찜	 	 	 	 	 	 	 	 	 	 	 	 	 	 	혼이 빠지도록 겁을 냄. 
혼겁하다	[동사][방언]	VV	00_00_00	혼껍하다	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	혼이 빠지도록 겁을 냄. 또는 그 겁.
혼꾸멍나다	[동사][방언]	VV	00_00_00	 	 	 	 	 	 	혼꾸녕나다	혼꾸녕나다	 	 	 	 	 	 	 	 	 	 	'혼나다'를 속되게 이르는 말.
혼나다	[동사][방언]	VV	00_00_00	 	 	시껍묵다	시껍하다, 얼쌀먹다	 	 	 	 	넉나다, 혼겁나다	 	 	 	 	 	 	 	 	 	매우 놀라거나 힘들거나 시련을 당하거나 하여서 정신이 빠질 지경에 이르다
혼내다	[동사][방언]	VV	00_00_00	혼내쿠다	 	 	씩겁주다	 	 	혼침내다	혼내키다	 	 	 	 	 	혼달구다	 	 	 	 	호되게 꾸지람을 하거나 벌을 주다.
혼동	[명사][방언]	NNG	00_00_00	 	 	 	 	헵지	 	 	 	혼지	 	 	 	 	 	 	 	 	 	미존재 뜻풀이
혼령	[명사][방언]	NNG	02_00_00	 	 	 	 	 	 	 	 	혼정	 	 	 	 	 	 	 	 	 	죽은 사람의 넋.
혼례	[명사][방언]	NNG	00_00_00	 	혼레	 	혼레	혼냬	 	 	혼냬	 	 	 	 	 	 	 	 	 	 	부부 관계를 맺는 서약을 하는 의식.
혼례식	[명사][방언]	NNG	00_00_00	 	 	 	꼬꼬재배	 	홀리식	 	 	 	 	 	 	 	 	 	 	 	 	부부 관계를 맺는 서약을 하는 의식.
혼몽하다	[형용사][방언]	VA	00_00_00	홀망하다	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	정신이 흐릿하고 가물가물함.
혼백상자	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	 	 	혼백상지	 	 	 	 	 	 	 	 	 	혼백을 담는 상자
혼비백산	[명사][방언]	NNG	00_00_00	 	 	 	 	혼두백	 	 	 	 	 	 	 	 	 	 	 	 	 	혼백이 어지러이 흩어진다는 뜻으로, 몹시 놀라 넋을 잃음을 이르는 말
혼사	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	 	혼새	 	 	 	 	 	 	 	 	 	 	미존재 뜻풀이
혼솔	[명사][방언]	NNG	00_00_00	 	 	 	 	혼수리	 	 	 	 	 	 	 	 	 	 	 	 	 	미존재 뜻풀이
혼솔	[명사][방언]	NNG	01_00_00	 	 	 	 	 	 	 	 	 	 	혼숡	 	 	 	 	 	 	 	홈질로 꿰맨 옷의 솔기.
혼수	[명사][방언]	NNG	00_00_00	 	 	 	혼세	 	 	 	 	 	 	 	 	 	 	 	 	 	 	미존재 뜻풀이
혼수품	[명사][방언]	NNG	00_00_00	 	 	 	유룸	 	 	 	 	 	 	 	 	 	 	 	 	 	 	혼인에 드는 물품.
혼숫감	[명사][방언]	NNG	00_00_00	 	선치흥정, 한숫감, 혼소옷감, 혼수옷, 혼수홍전	웃옷감, 혼감	혼수감	웃걸림, 혼사옷감, 혼삿감, 혼새물건, 혼샛감, 혼첫감	사주옷감, 혼사감, 혼새감, 혼서감, 혼수감, 혼수옷감, 혼인옷감	혼수감, 혼수흥정	 	혼삿가음, 혼숫가슴, 혼숫가음	 	 	 	 	 	 	 	 	 	혼수로 쓸 물건.
혼인길	[명사][방언]	NNG	00_00_00	혼인줄	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	혼인할 기회나 자리.
혼인식	[명사][방언]	NNG	00_00_00	 	 	 	 	 	혼연식	 	 	 	 	 	 	 	 	 	 	 	 	부부 관계를 맺는 서약을 하는 의식.
혼자	[명사][방언]	NNG	00_00_00	 	 	하므차, 하므차, 호분차, 호분차	호분차, 호분차	 	 	 	 	 	 	 	호븐자, 호븐자	하븐자, 하븐자, 호분차, 호분차, 호븐자, 호븐자	 	 	 	호분차, 호분차	 	미존재 뜻풀이
혼자	[명사][방언]	NNG	01_00_00	혼저, 혼차	혼차, 홈자	하무차, 하문차, 함자, 함차, 호무차, 호문차, 호분자, 호불차, 홈차	호부차	혼차	 	혼저, 혼차	혼차	 	함차, 홈자	함자, 함차, 홈자	하분자, 호분자, 혼차, 홈자	하분자, 호분자, 혼차	함자, 함차, 홈차	 	 	 	 	다른 사람과 어울리거나 함께 있지 아니하고 홀로 있는 상태
혼자되다	[동사][방언]	VV	00_00_00	 	 	 	 	혼차되다	 	 	 	 	 	 	 	 	 	 	 	 	 	부부 가운데 한쪽이 죽어 홀로 남다.
혼잣손	[명사][방언]	NNG	00_00_00	혼젓손, 혼찻손, 혼첫손	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	혼자서만 일을 하거나 살림을 꾸려 나가는 처지.
혼쭐	[명사][방언]	NNG	00_00_00	 	 	 	 	혼구녕, 혼짝	 	혼구녁, 혼구영	혼구녁, 혼구영	 	 	 	 	 	 	 	 	 	 	'혼02'을 강조하여 이르는 말.
혼쭐나다	[동사][방언]	VV	00_00_00	 	 	 	줄똥싸다	영금보다	 	 	 	 	 	 	 	 	 	 	 	 	 	몹시 혼나다.
혼쭐내다	[동사][방언]	VV	00_00_00	 	 	 	 	영금보이다	 	 	 	 	 	 	 	 	 	 	 	 	 	몹시 꾸짖거나 벌을 주다.
혼처	[명사][방언]	NNG	00_00_00	혼초	 	홍구	홍구	 	 	 	 	 	 	 	 	 	 	 	 	 	 	혼인할 자리. 또는 혼인하기에 알맞은 자리.
혼침하다	[형용사][방언]	VA	00_00_00	 	 	 	 	 	 	 	 	홍침하다	 	 	 	 	 	 	 	 	 	정신이 아주 혼미하다.
홀가분하다	[형용사][방언]	VA	00_00_00	 	 	 	홀깨빈하다	헝겁다	 	 	 	 	 	 	하다분하다	 	 	 	 	 	 	거추장스럽지 아니하고 가뿐하다.
홀대하다	[동사][방언]	VV	00_00_00	 	 	 	 	쪽하다	 	 	 	 	 	 	 	 	 	 	 	 	 	소홀히 대접함. '푸대접'으로 순화.
홀딱	[부사][방언]	MAG	00_00_00	 	 	솔딱	 	할씬	 	 	 	멘들락	 	 	호딱	 	 	 	 	 	 	미존재 뜻풀이
홀랑	[부사][방언]	MAG	00_00_00	 	 	솔랑	 	쏠랑, 활랑	 	 	 	 	 	쏠롱	 	 	호물랑	 	 	 	 	속의 것이 한꺼번에 드러나도록 완전히 벗어지거나 뒤집히는 모양
홀로	[부사][방언]	MAG	00_00_00	 	 	 	 	 	 	 	 	 	 	홀루	하불르, 홀루	하불르, 홀루	 	홀루	홀루	 	 	자기 혼자서만.
홀리다	[동사][방언]	VV	00_00_00	홀리키다	 	홀키다, 혹히다	홀레다	홀기다, 뽈리다, 홀구다	홀쿠다	 	 	 	 	 	 	 	 	 	 	 	 	무엇의 유혹에 빠져 정신을 차리지 못하다.
홀맺다	[동사][방언]	VV	00_00_00	 	 	홀매치다	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	풀 수 없도록 단단히 옭아매다.
홀몸	[명사][방언]	NNG	00_00_00	 	 	 	호부몸	 	 	 	 	 	 	 	 	 	 	 	 	 	 	배우자나 형제가 없는 사람.
홀보들하다	[형용사][방언]	VA	00_00_00	 	 	 	 	 	 	 	 	올보드랍다	 	 	 	 	 	 	 	 	 	피륙 따위가 가볍고 매우 보드랍다.
홀시아버지	[명사][방언]	NNG	00_00_00	홀시아버이, 홀시아부지	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	혼자된 시아버지.
홀시어머니	[명사][방언]	NNG	00_00_00	홀시어머이, 홀써마이	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	혼자된 시어머니.
홀아비	[명사][방언]	NNG	00_00_00	호부래비	 	호굴애비, 호볼애비, 홀아바이	호불아비, 호볼애비, 호부래비, 홀아바이, 홀래비	포털, 홀아배, 홀압시	포털	호애비	 	 	 	포톨	하부래비, 호블애비, 혿애비, 홀아배	보토리, 하부래비, 하불아비, 혿애비	 	포털, 혿애비	포톨	 	 	아내를 잃고 혼자 지내는 사내.
홀어머니	[명사][방언]	NNG	00_00_00	 	홀어머이	 	 	홀어마니	홀어마니	 	홀어머이	 	 	 	 	 	홀아마이, 홀오마이	 	 	 	 	'홀어미'를 높여 이르는 말.
홀어미	[명사][방언]	NNG	00_00_00	홀에미	홀에미	호굴에미, 오불에미, 호불에미, 호불이미, 홀어마이, 홀어매, 홀에미	호불어미, 홀오메, 오불에미, 호불에미, 호불이미, 홀어마이, 홀어매, 홀에미, 홀이미	홀어매, 홀엄, 홀엄씨, 홀에미	홀엄씨, 홀에미	홀에미	홀에미, 홀이미	홀어멍	 	 	하부레미, 오불에미, 하불에미, 호불에미, 호블에미	하부레미, 오불에미, 하불에미, 호불에미	 	오불에미, 호불에미, 홀에미	 	오불에미, 호불에미	 	남편을 잃고 혼자 지내는 여자.
홀짝거리다	[동사][방언]	VV	00_00_00	호부작거리다, 호불짝거리다	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	적은 양의 액체 따위를 자꾸 들이마시다.
홀쭉하다	[형용사][방언]	VA	00_00_00	 	 	 	 	홀캉허다	 	 	 	 	 	 	 	 	 	 	 	 	 	길이에 비하여 몸통이 가늘고 길다.
홀쳐매다	[동사][방언]	VV	00_00_00	홀체매다	 	홀차매다	홀차매다	홀미치다	 	 	 	 	 	 	 	 	 	 	 	 	 	풀리지 아니하도록 단단히 잡아매다.
홀치다	[동사][방언]	VV	00_00_00	 	 	홀끼다	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	미존재 뜻풀이
홀태바지	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	 	 	 	 	 	홀때바지	 	 	 	 	 	 	통이 매우 좁은 바지.
홈	[명사][방언]	NNG	01_00_00	 	 	 	 	 	 	 	 	홈자갈, 홈챙이, 홍탱이	 	 	 	 	 	 	 	 	 	물체에 오목하고 길게 팬 줄.
홈대패	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	 	 	홈밀이	 	 	 	 	 	 	 	 	 	인방이나 문틀에 미닫이나 미세기 창문을 끼우는 홈을 파는 데 쓰는 대패
홈질	[명사][방언]	NNG	00_00_00	호개질, 호품질	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	옷감 두 장을 포개어 바늘땀을 위아래로 드문드문 호는 바느질
홈질하다	[동사][방언]	VV	00_00_00	 	 	 	 	 	 	 	호품질하다	 	 	 	 	 	 	 	 	 	 	옷감 두 장을 포개어 바늘땀을 위아래로 드문드문 호는 바느질
홈통	[명사][방언]	NNG	00_00_00	홈탱이	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	물이 흐르거나 타고 내리도록 만든 물건
홈파다	[동사][방언]	VV	00_00_00	 	 	 	 	 	 	 	 	홍파다	 	홈츠다	 	 	 	 	 	 	 	속을 오목하게 호비어 파다.
홍가자미	[명사][방언]	NNG	00_00_00	용고리	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	가자밋과의 바닷물고기
홍당무	[명사][방언]	NNG	00_00_00	 	 	빨간무시, 뻘건무시, 뿕은무끼	뻘건무시, 뿕은무끼	 	 	붉은무수	붉은무수	 	빨간무	빨간무	홍노배	홍노배	 	붉은무수, 홍노배	빨간무	빨간무시, 뻘건무시, 뿕은무끼	 	미존재 뜻풀이
홍두	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	 	 	가마귀돔비	 	 	 	 	 	 	 	 	 	미존재 뜻풀이
홍두깨	[명사][방언]	NNG	00_00_00	홍두깽이	 	홍둘깨, 홍돌깨, 홍디깨	홍둘깨, 홍두끼, 홍드깨, 홍들깨, 홍디깨	홍돌깨	 	홍도깨비, 홍두깨비	홍두깨비, 홍트깨	바깃대, 방깃대, 홍짓대, 바짓대, 홍질대	홍두깽이	 	다듬대, 대명때, 다듬이대, 대명대	다듬대, 대명때, 방칫대, 대명대, 백밀대	 	 	 	 	 	다듬잇감을 감아서 다듬이질할 때에 쓰는, 단단한 나무로 만든 도구
홍수	[명사][방언]	NNG	00_00_00	개륵	 	큰대수	큰대수	 	 	 	 	 	 	 	 	 	 	 	 	 	 	미존재 뜻풀이
홍수	[명사][방언]	NNG	02_00_00	게락	 	 	 	 	 	 	 	 	 	탕수	 	 	 	 	 	 	 	비가 많이 와서 강이나 개천에 갑자기 크게 불은 물.
홍시	[명사][방언]	NNG	00_00_00	홍수, 홍실	 	 	에라리, 홍새, 홍씨	감치자, 감치차, 홍실감, 홍씨	홍수, 홍수감, 감치차, 감홍수, 감홍시, 호몽시	물랭이	홍수	홍실감	 	 	 	 	 	 	 	 	 	물렁하게 잘 익은 감.
홍어	[명사][방언]	NNG	00_00_00	 	 	 	나무가부리	홍에	 	히어	 	홍에	 	 	호에	호에, 호웨	무람, 홍아	 	 	 	 	가오릿과의 바닷물고기
홍역	[명사][방언]	NNG	00_00_00	압세기, 압시기, 혼역, 홍녁, 흥대기	홍재기, 헌역, 혼역, 혼역마마, 홍녁	가개, 혼역	혼진, 떠래, 뜰항굿, 혼역, 과거, 구슬, 녹두손님	혼역, 혼윽	혼역	혼녁, 혼역	혼역, 홍녁	족은마누라, 족은마마	혼돼기, 홍대기, 뜰항굿, 홍돼기, 흥대기	적은손님, 혼돼기, 홍대기, 홍돼기, 흥대기, 흥돼기	홍대기, 돼기, 작은마누래, 작은손님, 작은역신	도녁, 돼기	홍대기, 혼녁, 혼역, 홍돼기, 흥대기	 	 	 	 	홍역 바이러스가 비말(飛沫) 감염에 의하여 일으키는 급성 전염병
홍진	[명사][방언]	NNG	00_00_00	 	 	 	홍짐	 	 	 	 	 	 	 	 	 	 	 	 	 	 	미존재 뜻풀이
홍합	[명사][방언]	NNG	00_00_00	고양섭	 	열합	 	 	 	 	 	홍압	 	 	 	 	 	 	 	 	 	홍합과의 조개
홑	[명사][방언]	NNG	01_00_00	 	 	 	호붙	 	 	 	 	 	 	 	 	 	 	 	 	 	 	짝을 이루지 아니하거나 겹으로 되지 아니한 것.
홑담	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	 	 	웨담	 	 	 	 	 	 	 	 	 	한 겹으로 쌓은 담. 화방(火防) 따위가 있다.
홑두루마기	[명사][방언]	NNG	00_00_00	 	 	 	소두레이	 	 	 	 	홑두루막	 	 	 	 	 	 	 	 	 	홑겹으로 지은 두루마기.
홑바지	[명사][방언]	NNG	00_00_00	 	 	 	홑주	 	 	 	 	굴중이	 	 	 	 	 	 	 	 	 	홑겹으로 지은 바지.
홑옷	[명사][방언]	NNG	00_00_00	홑거쥐기, 홑우티, 흩거	고껏, 홑중이, 홑껍데기옷	핱옷	핱옷, 햍옷	횥옷	 	흩것	호껍디기	 	홋입성, 홑입성	홋거, 홋입성, 홑댕이, 홑입성	하부찌, 하비옷, 호붓거, 하부옷, 하빝거, 호븟거, 호빗거, 호빝오시	하부찌, 하비옷, 하부옷, 하붓거, 하빗거, 하빝거	 	하부옷	홑입성	핱옷, 호빝오시	 	한 겹으로 지은 옷.
홑이불	[명사][방언]	NNG	00_00_00	 	 	호불이불	호분니불, 호부이불, 호불이불	홑이블, 홑이울, 횥이불	 	 	 	 	 	 	하불이불	하불이불, 하붓니불	 	 	 	 	 	안을 두지 아니한, 홑겹으로 된 이불
홑중의	[명사][방언]	NNG	00_00_00	홑주우	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	홑겹으로 지은 바지.
홑청	[명사][방언]	NNG	00_00_00	 	 	홑총, 홑충, 홑칭	홑잇	홑이	 	 	 	 	 	 	 	 	 	 	 	 	 	미존재 뜻풀이
홑치마	[명사][방언]	NNG	00_00_00	 	 	 	냄비처매	 	 	 	 	 	 	 	 	 	 	 	 	 	 	한 겹으로 된 치마.
